"","title","singer","pc","hc"
"1121","반도의흔한랩퍼 (Feat. San E, 스윙스)","버벌진트",4,2
"1122","반만","진민호",3,3
"1123","반창꼬","노을",1,1
"1124","반해","전효성",4,2
"1125","받는 사랑이 주는 사랑에게","다비치",5,2
"1126","발자국 (On the snow)","EXO",4,2
"1127","밤","버스커 버스커",1,2
"1128","밤 끝없는 밤","AKMU (악동뮤지션)",4,2
"1129","밤샜지 (Prod. By ZICO)","육지담",5,2
"1130","밤을 새 (Feat. 베이식)","허각",5,2
"1131","밤이 되니까","펀치 (Punch)",3,3
"1132","밤이 오는 거리 (Feat. 다이나믹듀오)","노을",1,2
"1133","밤편지","아이유",2,3
"1134","방구석 날라리","처진 달팽이 (유재석 & 이적)",5,2
"1135","방에 모기가 있어 (Do You Think Of Me?)","10CM",5,2
"1136","배인 (VAIN) (Feat. Koonta Of Rude Paper)","언터쳐블",4,2
"1137","백마는 오고 있는가","써니힐",5,2
"1138","백야","넬 (NELL)",5,2
"1139","백야","엠씨더맥스 (M.C the MAX)",1,2
"1140","뱃노래","AKMU (악동뮤지션)",4,2
"1141","뱅뱅뱅 (BANG BANG BANG)","BIGBANG",1,3
"1142","버릇처럼 셋을 센다","KCM",4,1
"1143","벌써 12시","청하",2,3
"1144","벗","닐로(Nilo)",5,1
"1145","벚꽃 엔딩","버스커 버스커",2,3
"1146","벚꽃연가","첸 (CHEN)",5,2
"1147","베베 (BABE)","현아",5,1
"1148","베짱이 찬가","써니힐",1,1
"1149","별 보러 갈래?","볼빨간사춘기",2,1
"1150","별 시 (別 時)","박효신",5,2
"1151","별 헤는 밤","40",4,2
"1152","별에서 온 그대","윤하 (YOUNHA)",5,2
"1153","별이 빛나는 밤","마마무 (Mamamoo)",2,3
"1154","별처럼","케이윌",1,1
"1155","병이에요 (Spotless Mind)","정준영",5,2
"1156","보고 싶어...운다","린",1,1
"1157","보고싶다 (김범수)","백아연",5,2
"1158","보고싶어","걸스데이",1,2
"1159","보고싶어","효린",4,2
"1160","보기 드문 여자","블락비 (Block B)",4,2
"1161","보라빛향기","WABLE (와블)",4,2
"1162","보란 듯이","지아",4,2
"1163","보란듯이 (Feat. 앤덥)","손승연",4,2
"1164","보름달 (Feat. Lena)","선미",1,1
"1165","보여","Wanna One (워너원)",4,2
"1166","보통연애 (Feat. 박보람)","박경",1,1
"1167","복숭아","아이유",5,2
"1168","봄 여름 여름 여름","용감한 녀석들",1,2
"1169","봄 타나봐 (BOMTANABA)","서인국",1,2
"1170","봄날","방탄소년단",2,5
"1171","봄날의 기억","비투비",5,2
"1172","봄바람","Wanna One (워너원)",2,1
"1173","봄바람","버스커 버스커",5,2
"1174","봄바람 (Feat. 나얼)","이문세",5,2
"1175","봄봄봄","로이킴",2,1
"1176","봄비","백지영",1,2
"1177","봄비","장범준",5,2
"1178","봄이 좋냐??","10CM",2,1
"1179","봉숙이","장미여관",4,2
"1180","봉제선 (Feat. 수란)","다이나믹 듀오",4,2
"1181","부담이 돼 (Feat. 휘인 Of 마마무)","정키",2,1
"1182","부르즈 할리파 (Feat. 얀키, 개코)","에픽하이 (EPIK HIGH)",5,2
"1183","부산 바캉스","레게 강 같은 평화",5,2
"1184","북두칠성","로이킴",4,2
"1185","분홍신","아이유",2,1
"1186","불공평해 (Unfair)","EXO",5,1
"1187","불꽃","백지영",1,2
"1188","불꽃","초아",4,2
"1189","불꽃놀이 (Flowerbomb)","Wanna One (워너원)",4,2
"1190","불장난","BLACKPINK",2,3
"1191","불치병 (Feat. 키비 Of 이루펀트)","나비",4,2
"1192","불타오르네 (FIRE)","방탄소년단",1,1
"1193","불티 (Spark)","태연 (TAEYEON)",1,1
"1194","붐바야","BLACKPINK",1,1
"1195","붕붕 (Feat. 식케이) (Prod. GroovyRoom)","김하온 (HAON)",2,1
"1196","블라블라 (Prod.by 윤종신) (Blah Blah)","규현 (KYUHYUN)",4,2
"1197","블랙홀 (Feat. 에일리)","MC몽",5,2
"1198","비","폴킴",3,3
"1199","비가 내리는 날에는","윤하 (YOUNHA)",5,1
"1200","비가 내리면","비투비-블루",4,2
"1201","비가 온다","강승윤",1,2
"1202","비가 온다","정승환",4,2
"1203","비도 오고 그래서 (Feat. 신용재)","헤이즈 (Heize)",2,3
"1204","비를 내려줘요","린",5,2
"1205","비밀의 화원","아이유",5,2
"1206","비범벅 (Feat. 범키)","버벌진트",1,1
"1207","비오는 날 뭐해","하은",4,2
"1208","비올레타","IZ*ONE (아이즈원)",5,1
"1209","비포 선라이즈 (Duet With 정인)","이적",5,2
"1210","비행운","문문 (MoonMoon)",3,3
"1211","빌었어","창모 (CHANGMO)",3,1
"1212","빗소리","B.A.P",5,2
"1213","빗속으로","장범준",5,2
"1214","빙글뱅글 (Bingle Bangle)","AOA",1,1
"1215","빛나리","펜타곤",4,2
"1216","빛이 되어줘","블락비 (Block B)",5,2
"1217","빠빠빠","크레용팝",1,1
"1218","빨간 맛 (Red Flavor)","Red Velvet (레드벨벳)",2,3
"1219","빨개요","현아",1,1
"1220","빨리 전화해 (Feat. KUSH)","MOBB (MINO & BOBBY)",4,2
"1221","뻔한 멜로디 (Feat. Crush)","Zion.T",5,2
"1222","뿜뿜","모모랜드 (MOMOLAND)",2,3
"1223","삐삐","아이유",2,3
"1224","삐에로는 우릴 보고 웃지","아이유",5,2
"1225","사계 (Four Seasons)","태연 (TAEYEON)",2,3
"1226","사계 (하루살이)","엠씨더맥스 (M.C the MAX)",3,3
"1227","사라질것들 (Feat. 이소라, Beenzino)","병살 (정준하 & 김C)",5,2
"1228","사람","지코 (ZICO)",5,2
"1229","사람들이 움직이는 게","AKMU (악동뮤지션)",1,2
"1230","사랑 그 한마디","태연 (TAEYEON)",5,2
"1231","사랑 범벅 (Feat. 챈슬러 of the channels)","MC몽",2,1
"1232","사랑 알 수 없나봐","폴킴",4,2
"1233","사랑 이딴 거","임한별",4,2
"1234","사랑, 하자","수호 (SUHO)",1,2
"1235","사랑.. 그 놈 (화생방실 클레오파트라)","김연우",5,2
"1236","사랑... 어떡하나요","양파",4,2
"1237","사랑가시 (민호&태현)","WINNER",5,2
"1238","사랑시 고백구 행복동","제이세라",5,2
"1239","사랑아 또 사랑아","백지영",5,2
"1240","사랑앓이 (With 김나영)","FTISLAND (FT아일랜드)",5,1
"1241","사랑에 빠져요 (금세 사랑에 빠지는)","장범준",5,2
"1242","사랑에 빠졌죠 (당신만이)","장범준",1,1
"1243","사랑에 연습이 있었다면 (Prod. 2soo)","임재현",3,3
"1244","사랑에 연습이 있었다면 (답가)","히키 (Hickee)",4,2
"1245","사랑은 눈꽃처럼","XIA (준수)",2,1
"1246","사랑은 미친짓 (Feat. 칸토 of 트로이)","15& (박지민, 백예린)",2,1
"1247","사랑은 은하수 다방에서","AKMU (악동뮤지션)",5,2
"1248","사랑은 이렇게","이영현",4,2
"1249","사랑은 이렇게","케이윌",5,2
"1250","사랑은 타이밍","버스커 버스커",2,2
"1251","사랑을 했다 (LOVE SCENARIO)","iKON",2,3
"1252","사랑의 시작은 고백에서부터","김범수",3,1
"1253","사랑이 맞을거야","윤미래",2,1
"1254","사랑이 방울지네","10CM",5,2
"1255","사랑이 식었다고 말해도 돼","먼데이 키즈 (Monday Kiz)",2,3
"1256","사랑이 아프다","이상곤 (노을)",4,2
"1257","사랑이 아프다","환희",5,1
"1258","사랑이 운다","케이윌",5,2
"1259","사랑이 잘 (With 오혁)","아이유",2,1
"1260","사랑이 제일 낫더라 (With 남궁송옥, 개코 Of Dynamic Duo)","박진영",5,2
"1261","사랑이 지나가면","아이유",1,2
"1262","사랑이라면","노을",5,2
"1263","사랑이란 말이 어울리는 사람(사말어사)","장범준",1,2
"1264","사랑이란 멜로는 없어","전상근",1,3
"1265","사랑이었다 (Feat. 루나 of f(x))","지코 (ZICO)",1,1
"1266","사랑이었다 (Song By 태일)","블락비 (Block B)",4,2
"1267","사랑하고 싶어","틴탑",4,2
"1268","사랑하고 싶어서","허각",4,2
"1269","사랑하고 싶은 날","이승철",5,2
"1270","사랑하고 있습니다","2BIC(투빅)",5,2
"1271","사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네","잔나비",5,1
"1272","사랑하나 봐","이승철",4,2
"1273","사랑하자","SG 워너비",1,1
"1274","사랑하지 말아요 (Prod. 로코베리)","이석훈",4,2
"1275","사랑학개론","백아연",4,2
"1276","사랑한다는 말","이승기",5,2
"1277","사랑한다면 해선 안될 말","에픽하이 (EPIK HIGH)",4,2
"1278","사랑할수록 (화생방실 클레오파트라)","김연우",5,1
"1279","사랑해 기억해","아이오아이 (I.O.I)",4,2
"1280","사랑해 봤니","J.Lee",5,2
"1281","사랑해 사랑해 사랑해","포맨",5,2
"1282","사랑해도 너무나","윤건",5,2
"1283","사랑해서 그래","강민경 (다비치)",4,2
"1284","사랑해요","김범수",3,1
"1285","사랑해요","정준하",4,2
"1286","사랑했다치자 (Feat. 릴보이)","서인영",5,2
"1287","사랑했으니..됐어","거미",5,2
"1288","사뿐사뿐","AOA",1,1
"1289","사소한 것에서","AKMU (악동뮤지션)",5,2
"1290","사슬 (Chained Up)","VIXX (빅스)",5,2
"1291","사실 나는 (Feat.전건호)","경서예지",5,1
"1292","사월의 눈","허각",2,1
"1293","사월이 지나면 우리 헤어져요 (Beautiful goodbye)","첸 (CHEN)",2,3
"1294","사이렌 (Siren)","선미",2,1
"1295","사이먼 도미닉","사이먼 도미닉",1,1
"1296","산다는 건 (Cheer Up)","홍진영",5,1
"1297","살만찌고","4minute",5,2
"1298","살만해졌어","손승연",5,2
"1299","살아 봤으면 해","2NE1",2,1
"1300","삼바의 매력 (Feat. 개리, 정인)","길",5,2
"1301","상상","볼빨간사춘기",5,2
"1302","새 사랑","송하예",1,1
"1303","새 신발","아이유",5,2
"1304","새벽 가로수길 (With 송유빈)","백지영",5,1
"1305","새벽한시 (1AM)","태양",5,2
"1306","새삼스럽게 왜","AKMU (악동뮤지션)",5,2
"1307","생각날거야","다비치",1,1
"1308","샤넬 (Feat. 박봄)","MC몽",1,1
"1309","서랍정리","빅마마",4,2
"1310","서울 밤 (feat. 빈지노)","어반자카파",2,1
"1311","서울 이곳은","로이킴",4,1
"1312","선 (Feat. 우효) (45.7cm)","유승우",4,2
"1313","선물","멜로망스",2,3
"1314","세 단어","젝스키스",2,1
"1315","세 사람 (With 성시경)","토이",1,1
"1316","세월이 가면","기현 (Kihyun)",5,1
"1317","섹시 보이 (Feat. 영지)","하하",5,2
"1318","센치해","WINNER",1,1
"1319","셋 셀테니 (1, 2, 3!)","승리",1,1
"1320","소개받기로 했어","벤",4,2
"1321","소격동","아이유",1,2
"1322","소나기","아이오아이 (I.O.I)",1,3
"1323","소나기 (Feat. 10cm)","용준형",1,3
"1324","소나기 (주르르루)","버스커 버스커",2,1
"1325","소녀","오혁",2,1
"1326","소독약 (Love medicine)","주원",5,2
"1327","소름 (Chill)","EXO",4,2
"1328","소우주 (Mikrokosmos)","방탄소년단",1,1
"1329","소원","어반자카파",3,1
"1330","소재","AKMU (악동뮤지션)",4,2
"1331","손잡아 줘요","이하이",1,2
"1332","솔직하게 말해서 나","김나영",2,1
"1333","수퍼비와 (Feat. BewhY) (Prod. BewhY)","수퍼비",1,2
"1334","술 한잔해요 오늘","지아",5,2
"1335","술래","Wanna One (워너원)",4,2
"1336","술이 달다 (Feat. Crush)","에픽하이 (EPIK HIGH)",2,1
"1337","숨","박효신",1,3
"1338","숲","이승기",5,2
"1339","쉽지않아 (Missing)","틴탑",4,2
"1340","스모키걸 (Smoky Girl)","엠블랙",5,2
"1341","스물셋","아이유",2,1
"1342","스쳐간다","로이킴",5,2
"1343","스토커","10CM",4,3
"1344","스토커 (Feat. 매드클라운) (Stalker)","효린",5,2
"1345","스포일러","에픽하이 (EPIK HIGH)",1,2
"1346","스폰서 ($ponsor)","으뜨거따시 (하하, 자이언티)",1,1
"1347","슬피 우는 새 (Feat. 이수영)","아웃사이더",1,1
"1348","습관 (Bad Habits)","숀 (SHAUN)",5,2
"1349","시간과 낙엽","AKMU (악동뮤지션)",1,1
"1350","시간을 거슬러","린",2,1
"1351","시간의 바깥","아이유",2,1
"1352","시간이 들겠지 (Feat. Colde)","로꼬",2,1
"1353","시간이 흐른뒤 (윤미래)","이하이",5,2
"1354","시든 꽃에 물을 주듯","HYNN (박혜원)",3,3
"1355","시원한 여자","버스커 버스커",1,2
"1356","시작","가호 (Gaho)",2,3
"1357","시작","고아라",4,2
"1358","시작됐나, 봄","장덕철",5,2
"1359","시작이 좋아 (Feat. 강민희 Of 미스에스)","버벌진트",1,1
"1360","시차","방탄소년단",1,1
"1361","시차 (We Are) (Feat. 로꼬 & GRAY)","우원재",2,3
"1362","시청 앞 지하철 역에서","곽진언",4,4
"1363","신세계","브라운아이드걸스",5,2
"1364","신용재","하은",3,3
"1365","신청곡 (Feat. SUGA of BTS)","이소라",1,1
"1366","신촌을 못가","포스트맨(Postmen)",2,3
"1367","싫다","백지영",2,1
"1368","싫어 (Hate)","4minute",5,2
"1369","심술","볼빨간사춘기",3,3
"1370","심쿵해 (Heart Attack)","AOA",2,3
"1371","십이월 이십오일의 고백","정승환",2,1
"1372","쌔끈해 (Three Dopeboyz) (Feat. Zion.T)","다이나믹 듀오",1,2
"1373","썸 탈꺼야","볼빨간사춘기",2,3
"1374","썸머시즌 (Feat. 이퀄리티, XOXO)","프리스타일",5,2
"1375","쎈언니","제시 (Jessi)",4,2
"1376","쏘쏘","백아연",2,1
"1377","쏘아","하하 X MINO",1,2
"1378","쓰담쓰담","10CM",1,1
"1379","씨스루","권진아",1,2
"1380","씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오)","프라이머리",4,3
"1381","씨스루 (Feat. 개코, Zion.T)","프라이머리",5,1
"1382","아낙네","MINO (송민호)",2,1
"1383","아는사람 얘기","San E",2,1
"1384","아니기를","이기찬",5,2
"1385","아니라고","iKON",4,2
"1386","아니야","윤하 (YOUNHA)",5,2
"1387","아로하","조정석",2,3
"1388","아름다운 나이","버스커 버스커",2,2
"1389","아름다운 밤","울랄라세션",2,1
"1390","아름다운 밤이야","비스트",1,1
"1391","아름다운 아픔 (2012 New Ver.)","김민종",4,2
"1392","아름다워","창모 (CHANGMO)",3,1
"1393","아름다워 (Body)","태양",4,2
"1394","아름답고도 아프구나","비투비",2,1
"1395","아름답다","하이라이트 (Highlight)",5,2
"1396","아마추어","이승철",5,2
"1397","아무나 (Feat. 길미)","은지원",5,2
"1398","아무노래","지코 (ZICO)",2,3
"1399","아무렇지 않게, 안녕","HYNN (박혜원)",4,2
"1400","아빙아빙 (Abing Abing)","오렌지 캬라멜",4,2
"1401","아스라이","엠씨더맥스 (M.C the MAX)",4,2
"1402","아예 (Ah Yeah)","EXID",2,1
"1403","아재개그 (Narr. 김대희, 김준호)","마마무 (Mamamoo)",4,2
"1404","아저씨 (Feat. 제이레빗)","김진표",4,2
"1405","아주 NICE","세븐틴",4,3
"1406","아직 사랑한다","CNBLUE (씨엔블루)",5,2
"1407","아침부터 아침까지 (ah-ah)","틴탑",4,2
"1408","아침에 (Feat. Bryn)","양홍원",5,1
"1409","아카시아","백지영",5,2
"1410","아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)","기리보이",5,1
"1411","아프다","허각",1,1
"1412","아프지 마요","젝스키스",4,2
"1413","악몽 (Feat. 박수진)","배치기",5,2
"1414","안갯길 (Prod. By 진영(B1A4))","벤",5,1
"1415","안경","아이유",5,2
"1416","안녕","2NE1",4,2
"1417","안녕","AKMU (악동뮤지션)",5,2
"1418","안녕","폴킴",2,3
"1419","안녕","효린",2,1
"1420","안녕 (Hi~)","러블리즈",4,1
"1421","안녕 나야","포맨",1,1
"1422","안녕, 오늘의 그대에게","임한별",4,2
"1423","안녕이라는 말","송이한",4,2
"1424","안녕하세요","김재환",4,2
"1425","안되겠더라","포맨",2,1
"1426","안아보자","포맨",1,1
"1427","안아보자 (Feat. 정엽)","제아",5,2
"1428","안자고 뭐해 (Good Night)","미스에스",4,2
"1429","안좋을때 들으면 더 안좋은 노래","형돈이와 대준이",1,1
"1430","알러뷰","EXID",4,2
"1431","알았다면","장덕철",5,1
"1432","애쓰지 마요","박보람",4,1
"1433","애처럼 굴지마 (Feat. 기리보이)","씨스타",5,2
"1434","야생화","박효신",2,3
"1435","야시시","NS 윤지",5,2
"1436","약도 없대요 (Feat. 버벌진트)","백지영",5,2
"1437","약속 (EXO 2014)","EXO",5,2
"1438","약속해요 (I.P.U.)","Wanna One (워너원)",1,1
"1439","약속해요 (고백 Ver.)","Wanna One (워너원)",4,2
"1440","약한 사람 (Feat. 허인창)","버벌진트",5,2
"1441","양화대교","Zion.T",3,3
"1442","어김없이","엠씨더맥스 (M.C the MAX)",4,2
"1443","어느 60대 노부부이야기","임영웅",4,3
"1444","어느 멋진 날","정용화 (CNBLUE)",5,2
"1445","어느 봄날","2AM",2,1
"1446","어디 (Feat. DEAN, ZICO)","킬라그램 (KILLAGRAMZ)",5,2
"1447","어디서 잤어 (Feat. 버벌진트, 스윙스)","San E",1,2
"1448","어디선가 언젠가","성시경",5,2
"1449","어디에도","엠씨더맥스 (M.C the MAX)",2,3
"1450","어때 (Feat. 하림)","긱스 (Geeks)",2,1
"1451","어땠을까","김나영",2,1
"1452","어떤 날엔","김재환",5,1
"1453","어떤가요","노을",5,2
"1454","어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악동뮤지션)",2,3
"1455","어떻게 지내","Crush",1,1
"1456","어려운 여자","장범준",1,2
"1457","어른","Sondia",4,2
"1458","어린왕자 (The Little Prince)","려욱 (RYEOWOOK)",4,2
"1459","어머님이 누구니 (Feat. 제시)","박진영",2,1
"1460","어이 (Uh-ee)","크레용팝",5,2
"1461","어젯밤 이야기","아이유",5,2
"1462","어쩌면 나","로이킴",5,2
"1463","어쩔 수 없지 뭐","하이라이트 (Highlight)",5,2
"1464","언제쯤이면 (Duet.아이유)","윤현상",2,1
"1465","얼굴 찌푸리지 말아요","하이라이트 (Highlight)",2,1
"1466","얼음들","AKMU (악동뮤지션)",1,2
"1467","엄마를 닮았네","길",5,2
"1468","없어 (Feat. 이루펀트)","윤하 (YOUNHA)",4,2
"1469","에너제틱 (Energetic)","Wanna One (워너원)",1,3
"1470","에라 모르겠다","BIGBANG",2,1
"1471","여름밤에 우린","스탠딩 에그",2,1
"1472","여름밤의 꿈","아이유",4,2
"1473","여수 밤바다","버스커 버스커",1,1
"1474","여인","노을",5,2
"1475","여자 대통령","걸스데이",2,1
"1476","여자사람","노라조",4,2
"1477","여자친구","하은요셉",5,1
"1478","여전히 난","나얼",5,2
"1479","여전히 뜨겁게","백지영",5,2
"1480","여행","볼빨간사춘기",2,3
"1481","연결고리#힙합","BOBBY",2,3
"1482","연락하지마 (Feat. LE Of EXID)","가비엔제이",5,2
"1483","연애 (Love Song)","김그림",4,2
"1484","연애의 시작","이석훈",4,2
"1485","연예할래","박보람",2,1
"1486","열두 시가 되면","가인",5,2
"1487","열아홉","그리 (GREE)",5,2
"1488","열애중","벤",3,3
"1489","열애중 (답가)","하은",4,2
"1490","열어줘","Knock",5,2
"1491","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈",5,2
"1492","영웅 (英雄; Kick It)","NCT 127",4,2
"1493","영원+1 (Prod. NELL)","Wanna One (워너원) - 린온미",5,2
"1494","영화 속에 나오는 주인공처럼","펀치 (Punch)",4,1
"1495","영화관","Zion.T",5,2
"1496","예뻐 예뻐","레이디스 코드",5,1
"1497","예뻐졌다 (Feat. 지코 Of Block B)","박보람",2,1
"1498","예쁘잖아","기리보이",4,2
"1499","예쁜 나이 25살","송지은",4,2
"1500","예쁜 속옷","지나",5,2
"1501","예쁜게 다니","살찐고양이",5,2
"1502","예이 (YeY)","비스트",5,2
"1503","오,예!","형돈이와 대준이",5,2
"1504","오늘 같은 눈물이","허각",2,1
"1505","오늘 모해 (#WYD)","iKON",5,2
"1506","오늘 뭐해","4minute",2,1
"1507","오늘 뭐해?","헬로비너스",4,2
"1508","오늘 밤 (Feat. 배치기)","린",2,1
"1509","오늘 밤에","홍진영",4,1
"1510","오늘 취하면 (Feat. 창모) (Prod. SUGA)","SURAN (수란)",2,3
"1511","오늘도 그리워 그리워","다비치",4,2
"1512","오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)","마크툽 (MAKTUB)",3,3
"1513","오늘따라 (Feat. 가인)","팬텀",5,2
"1514","오늘따라 보고싶어서 그래","다비치",2,1
"1515","오늘밤도","펀치 (Punch)",4,2
"1516","오늘부터 1일 (Day 1)","케이윌",2,1
"1517","오래된 노래","스탠딩 에그",2,3
"1518","오랜 날 오랜 밤","AKMU (악동뮤지션)",2,3
"1519","오랜만이야 (Feat. Zion.T)","로꼬",5,2
"1520","오랜만이죠 (Feat. 신지수)","라디 (Ra. D)",1,2
"1521","오롯이","헤이즈 (Heize)",4,2
"1522","오만과 편견 (Feat. 수란)","지코 (ZICO)",4,2
"1523","오빠라고 불러다오","장미하관 (노홍철 & 장미여관)",5,2
"1524","오빠야","신현희와김루트",3,3
"1525","오예","10CM",5,2
"1526","오월의 어느 봄날 (Feat. 첸(CHEN))","임한별",4,2
"1527","오직 너만","김범수",5,2
"1528","올림픽대로 (Feat. MC날유)","형돈이와 대준이",5,2
"1529","와리가리","혁오 (HYUKOH)",3,1
"1530","와일드 (Wild)","나인뮤지스",4,2
"1531","왜 또","iKON",4,2
"1532","왜 몰랐을까","로이킴",4,2
"1533","왜 이제야 왔니","정엽",5,1
"1534","외국인의 고백","AKMU (악동뮤지션)",1,1
"1535","외로움증폭장치 (브래드 드럼 한판 쉬기)","버스커 버스커",1,1
"1536","요즘 바쁜가봐","2BIC(투빅)",5,1
"1537","욕심","멜로망스",2,1
"1538","우리 그만하자","로이킴",2,1
"1539","우리 다시 사랑한다면","2BIC(투빅)",5,2
"1540","우리 둘만 아는","윤건",4,1
"1541","우리 사랑하지 말아요","BIGBANG",2,1
"1542","우리 어떻게 할까요","첸 (CHEN)",1,1
"1543","우리 왜 헤어져야 해","신예영",3,3
"1544","우리가 사는 이야기 (Feat. 메건리)","god",5,2
"1545","우리가 사랑한 시간","규현 (KYUHYUN)",4,2
"1546","우리가 헤어진 진짜 이유","윤하 (YOUNHA)",5,2
"1547","우리집","2PM",5,2
"1548","우리집을 못 찾겠군요 (Feat. 볼빨간사춘기)","매드클라운",1,1
"1549","우린 달라졌을까 (With John Park)","윤하 (YOUNHA)",4,2
"1550","우산","윤하 (YOUNHA)",1,1
"1551","우아해 (woo ah)","Crush",1,1
"1552","우주를 줄게","볼빨간사춘기",3,3
"1553","우주선","정승환",4,2
"1554","욱 (UGH!)","방탄소년단",4,1
"1555","울고만있어","백지영",1,2
"1556","울어본 적 있나요","지아",5,2
"1557","울컥","크리스탈 (KRYSTAL)",4,2
"1558","움직여 (MOVE) (Prod. by ZICO)","SIXC (6 crazy)",4,2
"1559","움직이지마","다비치",4,2
"1560","웃고 떠나 (With 주이, Mr. Tyfoon)","길미",5,2
"1561","웃다 울다","서인국",1,2
"1562","웃을 때 제일 예뻐","X1 (엑스원)",4,2
"1563","웃을까 울을까 (Feat. 백지영)","일렉트로보이즈",4,2
"1564","웃픈 하루","god",5,2
"1565","워커홀릭","볼빨간사춘기",2,1
"1566","위로","어반자카파",5,2
"1567","위아래","EXID",2,3
"1568","위잉위잉","혁오 (HYUKOH)",2,1
"1569","유리 심장 (Feat. 용준형 Of 비스트)","린",5,2
"1570","을의 연애 (With 박주원)","아이유",5,2
"1571","음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)","트루디 (Truedy)",5,2
"1572","음오아예 (Um Oh Ah Yeh)","마마무 (Mamamoo)",2,1
"1573","음파음파 (Umpah Umpah)","Red Velvet (레드벨벳)",5,2
"1574","응급실","정준영",1,2
"1575","이 나이 먹도록","바이브",2,2
"1576","이 노래가 클럽에서 나온다면","우디 (Woody)",2,1
"1577","이 노래를 듣고 돌아와","2PM",5,2
"1578","이 노랠 빌려서 (Feat. 이로울 & 아이린)","디셈버",5,2
"1579","이 또한 지나 가리라","임재범",5,2
"1580","이 바보야","정승환",2,1
"1581","이 밤","양다일",4,2
"1582","이 밤의 끝","펀치 (Punch)",4,2
"1583","이 밤이 지나면 (화생방실 클레오파트라) (Bonus Track)","김연우",4,2
"1584","이 번호로 전화해줘","바이브",2,1
"1585","이 별","길구봉구",3,3
"1586","이 사랑","다비치",2,1
"1587","이 시간에 (Feat. 유성은, Young Luffy)","루이 (긱스)",1,2
"1588","이 자리에 (Acoustic Ver.)","Wanna One (워너원)",5,2
"1589","이 지금","아이유",2,1
"1590","이게 무슨 일이야","B1A4",5,1
"1591","이게 사랑이 아니면 (Feat. 에일리)","버벌진트",1,1
"1592","이런 엔딩","아이유",1,1
"1593","이럴 줄 알았어","비스트",1,1
"1594","이럴거면 그러지말지 (Feat. Young K)","백아연",2,3
"1595","이럴때면 (Feat. 린)","마이티 마우스",5,2
"1596","이렇게 우리","백아연",4,2
"1597","이로한 (Feat. ELO, Jessi) (Prod. Padi)","Rohann (이로한)",5,2
"1598","이름에게","아이유",5,2
"1599","이름이 뭐예요?","4minute",2,1
"1600","이리와봐 (Feat. Dok2, BOBBY)","MASTA WU",5,2
"1601","이미 넌 고마운 사람","홍대광",5,2
"1602","이별 10분 전","정준영",5,1
"1603","이별 참 못할 짓이더라","윤현상",4,2
"1604","이별극장","가비엔제이",5,2
"1605","이별길 (GOODBYE ROAD)","iKON",1,1
"1606","이별밖에","노을",1,1
"1607","이별시작","나얼",5,2
"1608","이별은 늘 그렇게 (Duet. 정은지)","허각",5,2
"1609","이별주","황인욱",5,1
"1610","이별하러 가는 길","임한별",3,3
"1611","이별행동","이우",4,1
"1612","이뻐이뻐 (Pretty girl)","크레파스",4,2
"1613","이쁘다니까","에디킴",1,1
"1614","이상형","버스커 버스커",1,1
"1615","이제 나만 믿어요","임영웅",5,3
"1616","이젠 너 없이도 (Feat. 윤미래, 타이거 JK, Bizzy)","유나킴",4,2
"1617","이젠 아니야","비스트",1,2
"1618","이젠 잊기로 해요","여은",4,2
"1619","인공잔디","AKMU (악동뮤지션)",5,2
"1620","인기 (Feat. 송가인, 챈슬러)","MC몽",2,1
"1621","인사","멜로망스",2,1
"1622","인생은 아름다워 (With 다이나믹듀오 & Zion. T & Crush)","토이",5,2
"1623","일 년째","지아",2,2
"1624","일산으로","장범준",4,2
"1625","일하러 가야 돼","비스트",1,2
"1626","입술 사이 (50cm)","아이유",5,2
"1627","입술의 말","엠씨더맥스 (M.C the MAX)",5,2
"1628","입장정리 (Feat. 최자, Simon D)","프라이머리",1,2
"1629","있기 없기","달샤벳",4,2
"1630","있다 없으니까 (Gone Not Around Any Longer)","씨스타19",2,1
"1631","있어줄래","길구봉구",4,2
"1632","있어줘요","장덕철",2,1
"1633","잊어버리지마 (Feat. 태연)","Crush",1,3
"1634","잊어요","영준 (브라운 아이드 소울)",5,2
"1635","잊었니","이승철",5,1
"1636","잊을만하면","Crush",2,1
"1637","잊지마요 (Feat. 박지훈)","하성운",4,2
"1638","잊혀진다는 거","노을",1,2
"1639","자격지심 (Feat. 은하 Of 여자친구)","박경",2,1
"1640","자니 (Feat. Dynamic Duo)","프라이머리",3,3
"1641","자장가","아이유",5,2
"1642","작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)","방탄소년단",2,3
"1643","작은별","AKMU (악동뮤지션)",5,2
"1644","잘 살고 있다","V.O.S",4,1
"1645","잘 있나요","The One (더원)",1,1
"1646","잘 있나요 (Acoustic Ver.)","최진혁",1,2
"1647","잘 지내고 있는지 궁금해","V.O.S",4,2
